Price,,,,,
Ticker,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX,^INDIAVIX
Date,Close,High,Low,Open,Volume
22-03-23,14.81000042,15.09000015,14.23999977,15.07999992,0
23-03-23,14.48999977,15.06000042,13.89999962,14.81000042,0
24-03-23,15.23999977,15.43000031,14.19999981,14.48999977,0
27-03-23,15.44999981,16.09000015,15.10000038,15.23999977,0
28-03-23,15.10000038,15.60999966,14.86999989,15.44999981,0
29-03-23,13.63000011,15.10000038,13.31999969,15.10000038,0
31-03-23,12.93999958,13.63000011,12.06999969,13.63000011,0
03-04-23,12.59000015,13.48999977,12.47000027,12.93999958,0
05-04-23,12.40999985,12.81000042,12.05000019,12.59000015,0
06-04-23,11.80000019,12.56999969,11.64999962,12.40999985,0
10-04-23,12.27000046,12.56000042,11.80000019,11.80000019,0
11-04-23,11.97999954,12.27000046,11.67000008,12.27000046,0
12-04-23,12.27000046,12.39999962,11.97999954,11.97999954,0
13-04-23,11.90999985,12.51000023,11.84000015,12.27000046,0
17-04-23,12.27000046,13.27000046,11.90999985,11.90999985,0
18-04-23,12.07999992,12.52999973,11.85999966,12.27000046,0
19-04-23,12.14999962,12.47000027,11.10999966,12.07999992,0
20-04-23,11.93999958,12.39999962,11.57999992,12.14999962,0
21-04-23,11.63000011,12.03999996,11.52000046,11.93999958,0
24-04-23,11.67000008,12.21000004,11.57999992,11.63000011,0
25-04-23,11.52000046,11.81000042,11.43000031,11.67000008,0
26-04-23,11.64999962,11.89999962,11.30000019,11.52000046,0
27-04-23,11.43000031,12.02000046,10.96000004,11.64999962,0
28-04-23,10.94999981,11.53999996,10.78999996,11.43000031,0
02-05-23,11.89999962,12.06000042,10.94999981,10.94999981,0
03-05-23,11.84000015,12.25,11.13000011,11.89999962,0
04-05-23,11.72999954,12.02999973,11.18999958,11.84000015,0
05-05-23,12.30000019,12.38000011,11.52999973,11.72999954,0
08-05-23,12.64000034,12.90999985,11.72000027,12.30000019,0
09-05-23,12.68000031,12.81999969,11.65999985,12.64000034,0
10-05-23,13.07999992,13.30000019,11.53999996,12.68000031,0
11-05-23,13.22000027,13.73999977,12.81999969,13.07999992,0
12-05-23,12.85000038,13.51000023,12.73999977,13.22000027,0
15-05-23,13.17000008,13.61999989,12.53999996,12.85000038,0
16-05-23,13.28999996,13.48999977,11.71000004,13.17000008,0
17-05-23,13.10999966,13.57999992,11.89999962,13.28999996,0
18-05-23,12.80000019,13.10999966,11.14000034,13.10999966,0
19-05-23,12.30000019,12.81999969,11.68999958,12.80000019,0
22-05-23,12.56999969,12.81999969,11.56000042,12.30000019,0
23-05-23,12.60999966,13.07999992,12.31999969,12.56999969,0
24-05-23,13.10999966,13.43999958,12.40999985,12.60999966,0
25-05-23,12.52000046,13.13000011,8.180000305,13.10999966,0
26-05-23,11.89999962,12.85999966,11.69999981,12.52000046,0
29-05-23,12.30000019,12.48999977,8.81000042,11.89999962,0
30-05-23,12.01000023,12.38000011,11.77000046,12.30000019,0
31-05-23,11.97000027,12.47000027,11.57999992,12.01000023,0
01-06-23,11.60000038,11.97000027,11.22000027,11.97000027,0
02-06-23,11.13000011,11.73999977,10.85999966,11.60000038,0
